Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,403,"Onions, dry",2012,2012,tonnes,1519022,,Official data
QC,Crops,21,Brazil,5510,Production,403,"Onions, dry",2013,2013,tonnes,1538929,,Official data
QC,Crops,21,Brazil,5510,Production,403,"Onions, dry",2014,2014,tonnes,1646498,,Official data
QC,Crops,21,Brazil,5510,Production,490,Oranges,2010,2010,tonnes,18503139,,Official data
QC,Crops,21,Brazil,5510,Production,490,Oranges,2011,2011,tonnes,19811064,,Official data
QC,Crops,21,Brazil,5510,Production,490,Oranges,2012,2012,tonnes,18012560,,Official data
QC,Crops,21,Brazil,5510,Production,490,Oranges,2013,2013,tonnes,17549536,,Official data
QC,Crops,21,Brazil,5510,Production,490,Oranges,2014,2014,tonnes,16928457,,Official data
QC,Crops,21,Brazil,5510,Production,256,Palm kernels,2010,2010,tonnes,208900,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,256,Palm kernels,2011,2011,tonnes,208900,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,256,Palm kernels,2012,2012,tonnes,210000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,256,Palm kernels,2013,2013,tonnes,226700,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,256,Palm kernels,2014,2014,tonnes,206900,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,600,Papayas,2010,2010,tonnes,1871961,,Official data
QC,Crops,21,Brazil,5510,Production,600,Papayas,2011,2011,tonnes,1854343,,Official data
QC,Crops,21,Brazil,5510,Production,600,Papayas,2012,2012,tonnes,1517696,,Official data
QC,Crops,21,Brazil,5510,Production,600,Papayas,2013,2013,tonnes,1582638,,Official data
QC,Crops,21,Brazil,5510,Production,600,Papayas,2014,2014,tonnes,1603351,,Official data
QC,Crops,21,Brazil,5510,Production,534,Peaches and nectarines,2010,2010,tonnes,222402,,Official data
QC,Crops,21,Brazil,5510,Production,534,Peaches and nectarines,2011,2011,tonnes,222180,,Official data
QC,Crops,21,Brazil,5510,Production,534,Peaches and nectarines,2012,2012,tonnes,232987,,Official data
QC,Crops,21,Brazil,5510,Production,534,Peaches and nectarines,2013,2013,tonnes,217706,,Official data
QC,Crops,21,Brazil,5510,Production,534,Peaches and nectarines,2014,2014,tonnes,211109,,Official data
QC,Crops,21,Brazil,5510,Production,521,Pears,2010,2010,tonnes,16397,,Official data
QC,Crops,21,Brazil,5510,Production,521,Pears,2011,2011,tonnes,20532,,Official data
QC,Crops,21,Brazil,5510,Production,521,Pears,2012,2012,tonnes,21990,,Official data
QC,Crops,21,Brazil,5510,Production,521,Pears,2013,2013,tonnes,22078,,Official data
QC,Crops,21,Brazil,5510,Production,521,Pears,2014,2014,tonnes,19096,,Official data
QC,Crops,21,Brazil,5510,Production,187,"Peas, dry",2010,2010,tonnes,5909,,Official data
QC,Crops,21,Brazil,5510,Production,187,"Peas, dry",2011,2011,tonnes,3901,,Official data
QC,Crops,21,Brazil,5510,Production,187,"Peas, dry",2012,2012,tonnes,4283,,Official data
QC,Crops,21,Brazil,5510,Production,187,"Peas, dry",2013,2013,tonnes,2992,,Official data
QC,Crops,21,Brazil,5510,Production,187,"Peas, dry",2014,2014,tonnes,3692,,Official data
QC,Crops,21,Brazil,5510,Production,687,Pepper (piper spp.),2010,2010,tonnes,52137,,Official data
QC,Crops,21,Brazil,5510,Production,687,Pepper (piper spp.),2011,2011,tonnes,44610,,Official data
QC,Crops,21,Brazil,5510,Production,687,Pepper (piper spp.),2012,2012,tonnes,43345,,Official data
